zip,beds,baths,sqft,price,Mon,Thu,Tue,Wed,type_Multi-Family,type_Residential
95662,4,2,1456,250000,0,0,1,0,0,1
95678,3,2,1498,250000,0,0,1,0,0,1
95843,3,2,1574,255000,0,0,1,0,0,1
95610,5,4,2085,256054,0,0,1,0,1,0
95829,3,2,2170,257729,0,0,1,0,0,1
95758,4,2,1595,260000,0,0,1,0,0,1
95843,3,2,1567,261000,0,0,1,0,0,1
95822,4,2,1253,264469,0,0,1,0,0,1
95843,4,3,1768,265000,0,0,1,0,0,1
95835,4,3,2030,270000,0,0,1,0,0,1
95835,3,2,1531,270000,0,0,1,0,0,1
95624,4,3,1653,275000,0,0,1,0,0,1
95758,4,2,2056,275000,0,0,1,0,0,1
95624,4,3,2494,280000,0,0,1,0,0,1
95628,3,2,1450,286013,0,0,1,0,0,1
95834,4,2,2169,292000,0,0,1,0,0,1
95747,3,2,1440,292000,0,0,1,0,0,1
95628,3,2,1527,293993,0,0,1,0,0,1
95678,3,2,1401,294000,0,0,1,0,0,1
95838,3,2,1411,296769,0,0,1,0,0,1
95673,3,1,1284,300000,0,0,1,0,0,1
95632,4,3,2307,300000,0,0,1,0,0,1
95667,3,2,1329,300000,0,0,1,0,0,1
95835,4,2,1910,300500,0,0,1,0,0,1
95670,3,2,1981,305000,0,0,1,0,0,1
95823,4,2,2205,319789,0,0,1,0,0,1
95648,2,2,1449,330000,0,0,1,0,0,1
95630,3,2,1258,330000,0,0,1,0,0,1
95757,3,2,2575,331000,0,0,1,0,0,1
95820,2,1,539,334000,0,0,1,0,0,1
95670,4,3,2208,336000,0,0,1,0,0,1
95819,3,1,1108,339000,0,0,1,0,0,1
95630,4,2,1595,339000,0,0,1,0,0,1
95632,4,2,2159,345000,0,0,1,0,0,1
95667,4,3,2295,350000,0,0,1,0,0,1
95678,3,2,1838,356000,0,0,1,0,0,1
95823,4,2,1900,361745,0,0,1,0,0,1
95811,4,2,1718,361948,0,0,1,0,0,1
95757,5,3,3389,370000,0,0,1,0,0,1
95757,5,4,3260,385000,0,0,1,0,0,1
95682,3,2,2016,399000,0,0,1,0,0,1
95765,4,2,2607,402000,0,0,1,0,0,1
95757,4,3,2724,406026,0,0,1,0,0,1
95632,5,4,3746,420000,0,0,1,0,0,1
95683,4,2,3192,425000,0,0,1,0,0,1
95811,2,1,1247,445000,0,0,1,0,0,1
95630,4,2,2581,450000,0,0,1,0,0,1
95841,3,1,2068,460000,0,0,1,0,0,1
95624,4,3,3992,460000,0,0,1,0,0,1
95835,4,4,3397,465000,0,0,1,0,0,1
95835,5,3,3881,471750,0,0,1,0,0,1
95608,2,2,1598,484000,0,0,1,0,0,1
95667,4,3,1929,485000,0,0,1,0,0,1
95757,4,3,3070,495000,0,0,1,0,0,1
95829,5,3,3984,572500,0,0,1,0,0,1
95608,4,2,2222,582000,0,0,1,0,0,1
95661,4,3,3838,613401,0,0,1,0,0,1
95628,5,5,2846,680000,0,0,1,0,0,1
95819,5,2,2484,699000,0,0,1,0,0,1
95650,4,4,1624,839000,0,0,1,0,0,1
95842,2,1,840,40000,1,0,0,0,0,0
95825,1,1,484,48000,1,0,0,0,0,0
95815,3,1,970,61500,1,0,0,0,0,1
95817,2,1,623,62050,1,0,0,0,0,1
95820,2,1,932,65000,1,0,0,0,0,1
95838,2,1,796,65000,1,0,0,0,0,1
95820,2,1,834,68000,1,0,0,0,0,1
95820,2,1,834,68000,1,0,0,0,0,1
95841,2,1,924,77000,1,0,0,0,0,0
95842,2,1,795,82732,1,0,0,0,0,0
95838,3,1,1250,84000,1,0,0,0,0,1
95820,2,1,984,84675,1,0,0,0,0,1
95828,3,1,1013,85000,1,0,0,0,0,1
95822,3,1,1012,90000,1,0,0,0,0,1
95826,2,1,795,90000,1,0,0,0,0,0
95838,2,2,918,91000,1,0,0,0,0,1
95838,3,1,1082,95000,1,0,0,0,0,1
95842,2,1,964,97500,1,0,0,0,0,1
95815,4,2,1404,100000,1,0,0,0,1,0
95826,1,1,625,100000,1,0,0,0,0,0
95621,2,1,888,101000,1,0,0,0,0,1
95815,4,2,1120,102750,1,0,0,0,0,1
95660,3,1,1331,112500,1,0,0,0,0,1
95821,3,1,1014,113000,1,0,0,0,0,1
95820,4,2,1448,114000,1,0,0,0,0,1
95838,3,1,966,114000,1,0,0,0,0,1
95823,2,1,779,114750,1,0,0,0,0,1
95843,2,2,836,115000,1,0,0,0,0,0
95678,2,2,1100,115000,1,0,0,0,0,0
95832,3,1,1174,116100,1,0,0,0,0,1
95660,3,2,1207,119250,1,0,0,0,0,1
95828,4,4,1995,120000,1,0,0,0,1,0
95820,2,1,804,120000,1,0,0,0,0,1
95834,2,2,958,120000,1,0,0,0,0,0
95823,3,2,1366,120108,1,0,0,0,0,1
95823,2,2,901,121500,1,0,0,0,0,1
95815,3,1,696,121725,1,0,0,0,0,1
95632,3,2,1080,122000,1,0,0,0,0,1
95822,3,2,1104,123000,1,0,0,0,0,1
95825,2,1,972,125000,1,0,0,0,0,1
95833,4,2,1390,125573,1,0,0,0,0,1
95626,4,2,1354,126714,1,0,0,0,0,1
95826,2,1,795,126960,1,0,0,0,0,0
95678,2,1,780,127000,1,0,0,0,0,0
95828,4,2,1587,127500,1,0,0,0,0,1
95660,3,2,1209,130000,1,0,0,0,0,1
95824,2,1,1139,133105,1,0,0,0,0,1
95673,2,2,1690,136500,1,0,0,0,0,1
95608,3,2,1245,139500,1,0,0,0,0,0
95626,3,2,1416,140000,1,0,0,0,0,1
95832,3,2,1300,140800,1,0,0,0,0,1
95822,3,2,1120,145000,1,0,0,0,0,1
95828,4,2,1590,147000,1,0,0,0,0,1
95828,3,2,1407,149600,1,0,0,0,0,1
95820,5,2,1516,150000,1,0,0,0,0,1
95822,3,2,1646,150000,1,0,0,0,0,1
95823,3,2,1676,155000,1,0,0,0,0,1
95838,3,2,1370,155435,1,0,0,0,0,1
95838,3,2,1370,155500,1,0,0,0,0,1
95621,4,2,1351,158000,1,0,0,0,0,1
95660,3,2,1152,158000,1,0,0,0,0,1
95823,3,2,1452,160000,1,0,0,0,0,1
95678,2,1,990,160000,1,0,0,0,0,1
95621,2,2,1162,164000,1,0,0,0,0,1
95673,3,2,1182,164000,1,0,0,0,0,1
95758,2,2,1112,165000,1,0,0,0,0,1
95632,3,2,1100,167000,1,0,0,0,0,1
95621,4,2,1280,167293,1,0,0,0,0,1
95621,4,2,1280,167293,1,0,0,0,0,1
95820,3,1,1039,168000,1,0,0,0,0,1
95842,3,2,1159,170000,1,0,0,0,0,1
95833,4,2,1917,170000,1,0,0,0,0,1
95827,3,2,1520,170000,1,0,0,0,0,1
95632,3,2,1204,174000,1,0,0,0,0,1
95841,3,2,1120,178000,1,0,0,0,0,1
95823,3,2,1436,180000,1,0,0,0,0,1
95826,3,2,1451,180000,1,0,0,0,0,1
95828,4,2,1638,180000,1,0,0,0,0,1
95608,2,2,1000,182000,1,0,0,0,0,0
95661,3,1,1152,188325,1,0,0,0,0,1
95747,3,2,1154,191500,1,0,0,0,0,1
95838,3,2,1353,192000,1,0,0,0,0,1
95621,3,2,1329,192700,1,0,0,0,0,1
95826,3,1,1356,195000,1,0,0,0,0,1
95838,3,2,1505,197654,1,0,0,0,0,1
95842,3,1,1009,198000,1,0,0,0,0,1
95823,3,2,1144,200345,1,0,0,0,0,1
95864,2,1,930,203000,1,0,0,0,0,1
95841,4,2,1766,207000,1,0,0,0,0,1
95828,4,3,1940,208000,1,0,0,0,0,1
95758,4,2,1776,210000,1,0,0,0,0,1
95621,3,1,1258,212000,1,0,0,0,0,1
95828,4,2,1872,213675,1,0,0,0,0,1
95758,2,2,1112,213697,1,0,0,0,0,1
95833,4,2,1856,215000,1,0,0,0,0,1
95816,4,3,1939,215000,1,0,0,0,0,1
95678,3,1,998,215100,1,0,0,0,0,1
95678,3,2,1758,217500,1,0,0,0,0,1
95838,3,2,2142,218000,1,0,0,0,0,1
95831,2,1,950,220000,1,0,0,0,0,1
95758,4,3,1739,221000,1,0,0,0,0,1
95624,3,2,1516,222900,1,0,0,0,0,1
95843,3,1,988,223139,1,0,0,0,0,1
95632,4,2,1555,225500,1,0,0,0,0,1
95820,3,2,1212,228327,1,0,0,0,0,1
95833,4,2,1871,230000,1,0,0,0,0,1
95828,3,2,1302,230000,1,0,0,0,0,1
95841,2,1,756,230522,1,0,0,0,0,0
95843,4,3,2026,231200,1,0,0,0,0,1
95831,3,2,1375,232000,1,0,0,0,0,1
95834,2,2,1250,232500,1,0,0,0,0,0
95822,3,1,1058,233641,1,0,0,0,0,1
95843,3,2,1187,234000,1,0,0,0,0,1
95831,2,2,1324,234500,1,0,0,0,0,1
95828,4,3,1936,235000,1,0,0,0,0,1
95670,5,4,2382,236000,1,0,0,0,1,0
95630,3,2,1427,236073,1,0,0,0,0,1
95835,3,2,1678,238000,1,0,0,0,0,0
95632,4,2,1798,238861,1,0,0,0,0,1
95843,4,3,2652,239700,1,0,0,0,0,1
95829,4,2,1816,240000,1,0,0,0,0,1
95834,5,3,3076,240000,1,0,0,0,0,1
95758,4,2,1844,241000,1,0,0,0,0,1
95823,3,2,1306,245000,1,0,0,0,0,1
95833,4,3,2447,246000,1,0,0,0,0,1
95828,4,2,1176,247234,1,0,0,0,0,1
95673,4,2,1182,247480,1,0,0,0,0,1
95673,3,1,1160,249862,1,0,0,0,0,1
95835,3,2,1424,251000,1,0,0,0,0,1
95662,4,2,1574,252155,1,0,0,0,0,1
95843,3,2,1830,254172,1,0,0,0,0,1
95624,4,2,1724,258000,1,0,0,0,0,1
95603,2,2,1255,260000,1,0,0,0,0,0
95835,4,3,2175,261000,1,0,0,0,0,1
95835,4,2,1904,261000,1,0,0,0,0,1
95762,4,2,1808,262500,1,0,0,0,0,1
95742,4,2,2711,266000,1,0,0,0,0,1
95608,3,1,1713,266000,1,0,0,0,0,1
95757,3,2,1457,270000,1,0,0,0,0,1
95757,4,3,2724,274425,1,0,0,0,0,1
95828,3,2,1468,275336,1,0,0,0,0,1
95835,4,3,2550,277980,1,0,0,0,0,1
95632,4,2,1928,280000,1,0,0,0,0,1
95814,3,3,1922,284686,1,0,0,0,0,1
95621,3,2,1343,284893,1,0,0,0,0,1
95677,3,2,1510,285000,1,0,0,0,0,1
95603,2,2,960,285000,1,0,0,0,1,0
95608,4,2,1559,285000,1,0,0,0,0,1
95623,3,2,1624,289000,1,0,0,0,0,1
95832,5,3,2992,295000,1,0,0,0,0,1
95758,4,2,2109,296000,1,0,0,0,0,1
95670,4,2,1524,296056,1,0,0,0,0,1
95828,3,2,1248,297359,1,0,0,0,0,1
95823,4,2,1876,299940,1,0,0,0,0,1
95670,4,3,1851,305000,1,0,0,0,0,1
95835,4,2,2218,311328,1,0,0,0,0,1
95828,3,2,1394,313138,1,0,0,0,0,1
95828,3,2,1410,316630,1,0,0,0,0,1
95758,5,3,3468,320000,1,0,0,0,0,1
95843,5,3,2346,320000,1,0,0,0,0,1
95843,5,3,2347,325000,1,0,0,0,0,1
95834,4,2,1659,328578,1,0,0,0,0,1
95757,3,3,2442,331000,1,0,0,0,0,1
95833,4,2,2155,340000,1,0,0,0,0,1
95828,3,2,1810,345746,1,0,0,0,0,1
95757,4,2,2789,351000,1,0,0,0,0,1
95632,4,2,1606,353767,1,0,0,0,0,1
95835,4,2,2166,356035,1,0,0,0,0,1
95835,4,2,1871,360552,1,0,0,0,0,1
95835,3,2,1800,362305,1,0,0,0,0,1
95817,3,1,1683,365000,1,0,0,0,0,1
95765,2,2,1596,370000,1,0,0,0,0,1
95757,3,2,1179,378000,1,0,0,0,0,1
95818,3,1,1639,388000,1,0,0,0,0,1
95742,5,3,3281,395100,1,0,0,0,0,1
95819,3,2,1697,400000,1,0,0,0,0,1
95843,4,3,2085,408431,1,0,0,0,0,1
95815,4,2,1744,416767,1,0,0,0,1,0
95630,4,3,1939,423000,1,0,0,0,0,1
95814,2,3,1788,427500,1,0,0,0,0,1
95765,3,2,1691,430922,1,0,0,0,0,1
95758,4,2,2002,445000,1,0,0,0,0,1
95757,4,4,4303,450000,1,0,0,0,0,1
95834,5,3,4246,452000,1,0,0,0,0,1
95661,3,2,2274,470000,1,0,0,0,0,1
95662,4,4,3056,475000,1,0,0,0,0,1
95758,3,3,2503,484500,1,0,0,0,0,1
95630,3,2,1905,500000,1,0,0,0,0,1
95663,3,2,1320,506688,1,0,0,0,0,1
95670,4,2,3037,528000,1,0,0,0,0,1
95693,5,2,3741,579093,1,0,0,0,0,1
95630,4,3,2660,636000,1,0,0,0,0,1
95608,4,3,3357,668365,1,0,0,0,0,1
95746,5,3,2896,676200,1,0,0,0,0,1
95667,3,2,2025,677048,1,0,0,0,0,1
95693,5,3,3788,691659,1,0,0,0,0,1
95746,5,3,3670,760000,1,0,0,0,0,1
95621,3,2,1166,30000,0,0,0,0,0,1
95823,2,1,838,55422,0,0,0,0,0,1
95660,2,1,904,63000,0,0,0,0,0,1
95815,2,1,1032,65000,0,0,0,0,0,1
95838,2,1,904,65000,0,0,0,0,0,1
95817,2,1,1080,65000,0,0,0,0,0,1
95822,2,2,990,66500,0,0,0,0,0,1
95838,2,1,900,71000,0,0,0,0,0,1
95824,2,1,861,75000,0,0,0,0,0,1
95823,2,1,906,77000,0,0,0,0,0,0
95815,2,1,1011,85000,0,0,0,0,0,1
95823,3,2,1089,95625,0,0,0,0,0,1
95815,2,1,832,96140,0,0,0,0,0,1
95822,2,1,800,104250,0,0,0,0,0,0
95842,4,2,1292,105000,0,0,0,0,0,1
95822,2,1,810,108000,0,0,0,0,0,1
95838,4,2,1064,109000,0,0,0,0,0,1
95670,2,1,911,115000,0,0,0,0,0,1
95835,1,1,846,115000,0,0,0,0,0,0
95827,3,2,1320,115500,0,0,0,0,0,1
95838,3,2,1410,115620,0,0,0,0,0,1
95670,3,2,1115,116000,0,0,0,0,0,1
95822,3,2,1169,122000,0,0,0,0,0,1
95822,3,2,1164,122500,0,0,0,0,0,1
95823,4,2,1341,123000,0,0,0,0,0,1
95838,3,2,1219,124000,0,0,0,0,0,1
95842,4,2,1127,124000,0,0,0,0,0,1
95660,3,2,1272,124413,0,0,0,0,0,1
95822,4,2,1253,125000,0,0,0,0,0,1
95828,3,2,1120,130000,0,0,0,0,0,1
95660,2,2,1118,131750,0,0,0,0,0,1
95838,4,3,1890,137721,0,0,0,0,0,1
95833,3,2,1260,137760,0,0,0,0,0,1
95823,3,2,1400,138000,0,0,0,0,0,1
95821,3,1,1264,140000,0,0,0,0,0,1
95824,3,1,1060,145000,0,0,0,0,0,1
95828,2,2,1132,145000,0,0,0,0,0,1
95823,3,2,1466,150000,0,0,0,0,0,1
95827,3,2,1092,150000,0,0,0,0,0,1
95828,4,2,1628,151000,0,0,0,0,0,1
95842,3,2,960,155000,0,0,0,0,0,1
95621,3,2,1075,155800,0,0,0,0,0,1
95826,3,2,1428,156142,0,0,0,0,0,1
95828,4,2,1358,158000,0,0,0,0,0,1
95828,6,4,2475,159900,0,0,0,0,1,0
95610,3,2,1410,160000,0,0,0,0,0,1
95843,3,2,1711,161500,0,0,0,0,0,1
95826,4,2,1483,161600,0,0,0,0,0,1
95632,3,2,1140,162000,0,0,0,0,0,1
95828,4,2,1549,165000,0,0,0,0,0,1
95828,3,2,1410,165000,0,0,0,0,0,1
95758,3,2,1240,167293,0,0,0,0,0,1
95842,5,2,1712,168000,0,0,0,0,0,1
95823,4,2,1580,168000,0,0,0,0,0,1
95843,3,2,1669,168750,0,0,0,0,0,1
95826,3,1,1029,168750,0,0,0,0,0,1
95621,3,1,1103,170000,0,0,0,0,0,1
95828,3,2,2161,170250,0,0,0,0,0,1
95823,3,2,1650,173000,0,0,0,0,0,1
95726,3,1,1320,175000,0,0,0,0,0,1
95826,3,2,1200,176095,0,0,0,0,0,1
95835,3,2,1170,176250,0,0,0,0,0,1
95621,3,2,1199,178000,0,0,0,0,0,1
95823,4,2,1695,179000,0,0,0,0,0,1
95670,3,2,1157,180000,0,0,0,0,0,1
95838,3,2,1410,180000,0,0,0,0,0,1
95678,3,2,1174,180000,0,0,0,0,0,1
95823,3,2,1593,181000,0,0,0,0,0,1
95673,3,2,1093,182000,0,0,0,0,0,1
95678,3,2,1770,182587,0,0,0,0,0,1
